Date,Discharge,flood runoff,daily runoff,weekly runoff,Flood
1-Jan-98,3244,0,0.91,,0
2-Jan-98,1591,0,0.45,,0
3-Jan-98,1973,0,0.55,,0
4-Jan-98,1973,0,0.55,,0
5-Jan-98,2011,0,0.56,,0
6-Jan-98,1642,0,0.46,,0
7-Jan-98,2631,0,0.74,4.22,0
8-Jan-98,2572,0,0.72,4.03,0
9-Jan-98,2378,0,0.67,4.25,0
10-Jan-98,1815,0,0.51,4.2,0
11-Jan-98,1742,0,0.49,4.14,0
12-Jan-98,782,0,0.22,3.79,0
13-Jan-98,1127,0,0.32,3.65,0
14-Jan-98,1154,0,0.32,3.24,0
15-Jan-98,1412,0,0.4,2.91,0
16-Jan-98,1990,0,0.56,2.8,0
17-Jan-98,3375,0,0.94,3.24,0
18-Jan-98,4513,0,1.26,4.02,0
19-Jan-98,6735,0,1.88,5.68,0
20-Jan-98,5830,0,1.63,7,0
21-Jan-98,5880,0,1.65,8.32,0
22-Jan-98,5818,0,1.63,9.55,0
23-Jan-98,4920,0,1.38,10.37,0
24-Jan-98,4302,0,1.2,10.63,0
25-Jan-98,4205,0,1.18,10.55,0
26-Jan-98,4203,0,1.18,9.84,0
27-Jan-98,3839,0,1.07,9.28,0
28-Jan-98,4013,0,1.12,8.76,0
29-Jan-98,3421,0,0.96,8.09,0
30-Jan-98,3098,0,0.87,7.58,0
31-Jan-98,3023,0,0.85,7.22,0
1-Feb-98,2688,0,0.75,6.79,0
2-Feb-98,2688,0,0.75,6.37,0
3-Feb-98,2124,0,0.59,5.89,0
4-Feb-98,2327,0,0.65,5.42,0
5-Feb-98,1849,0,0.52,4.98,0
6-Feb-98,1094,0,0.31,4.42,0
7-Feb-98,1395,0,0.39,3.96,0
8-Feb-98,1211,0,0.34,3.55,0
9-Feb-98,1211,0,0.34,3.14,0
10-Feb-98,984,0,0.28,2.82,0
11-Feb-98,1381,0,0.39,2.55,0
12-Feb-98,712,0,0.2,2.23,0
13-Feb-98,407,0,0.11,2.04,0
14-Feb-98,1208,0,0.34,1.99,0
15-Feb-98,1184,0,0.33,1.98,0
16-Feb-98,1203,0,0.34,1.98,0
17-Feb-98,1132,0,0.32,2.02,0
18-Feb-98,1132,0,0.32,1.95,0
19-Feb-98,515,0,0.14,1.9,0
20-Feb-98,537,0,0.15,1.93,0
21-Feb-98,209,0,0.06,1.65,0
22-Feb-98,269,0,0.08,1.4,0
23-Feb-98,469,0,0.13,1.19,0
24-Feb-98,455,0,0.13,1,0
25-Feb-98,180,0,0.05,0.74,0
26-Feb-98,252,0,0.07,0.66,0
27-Feb-98,803,0,0.22,0.74,0
28-Feb-98,660,0,0.18,0.86,0
1-Mar-98,708,0,0.2,0.99,0
2-Mar-98,1291,0,0.36,1.22,0
3-Mar-98,1521,0,0.43,1.51,0
4-Mar-98,1655,0,0.46,1.93,0
5-Mar-98,1821,0,0.51,2.37,0
6-Mar-98,3071,0,0.86,3,0
7-Mar-98,3341,0,0.93,3.75,0
8-Mar-98,3586,0,1,4.56,0
9-Mar-98,3455,0,0.97,5.16,0
10-Mar-98,4171,0,1.17,5.9,0
11-Mar-98,3348,0,0.94,6.38,0
12-Mar-98,3406,0,0.95,6.82,0
13-Mar-98,3151,0,0.88,6.84,0
14-Mar-98,2891,0,0.81,6.72,0
15-Mar-98,2603,0,0.73,6.44,0
16-Mar-98,1989,0,0.56,6.03,0
17-Mar-98,2403,0,0.67,5.54,0
18-Mar-98,1583,0,0.44,5.04,0
19-Mar-98,1583,0,0.44,4.53,0
20-Mar-98,1086,0,0.3,3.96,0
21-Mar-98,1390,0,0.39,3.54,0
22-Mar-98,88,0,0.02,2.83,0
23-Mar-98,0,0,0,2.28,0
24-Mar-98,332,0,0.09,1.7,0
25-Mar-98,157,0,0.04,1.3,0
26-Mar-98,249,0,0.07,0.92,0
27-Mar-98,228,0,0.06,0.68,0
28-Mar-98,228,0,0.06,0.36,0
